City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Williston,US,90.34,broken clouds,48.147,-103.618,Hampton Inn & Suites Williston
3,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
5,Cabo San Lucas,MX,94.6,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
7,Luwuk,ID,75.47,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
8,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
11,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
13,Waingapu,ID,71.64,clear sky,-9.6567,120.2641,Pondok Wisata Elim
14,Hithadhoo,MV,81.57,light rain,-0.6,73.0833,Scoop Guest House
20,Richards Bay,ZA,66.04,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
21,Zhanaozen,KZ,82.47,clear sky,43.3,52.8,K.korabay 28A
23,The Valley,AI,87.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
26,Isangel,VU,70.05,heavy intensity rain,-19.55,169.2667,Tanna Lodge
29,Najran,SA,90.25,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
30,Honiara,SB,75.7,clear sky,-9.4333,159.95,Heritage Park Hotel
31,Touros,BR,76.1,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
33,Rikitea,PF,72.64,light rain,-23.1203,-134.9692,People ThankYou
35,Gorele,TR,70.57,clear sky,41.0308,39.0031,Görele Öğretmenevi
36,Ambunti,PG,72.03,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
38,Butaritari,KI,81.28,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
39,Hilo,US,89.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
41,Saint-Georges,GD,85.68,clear sky,12.0564,-61.7485,Radisson Grenada Beach Resort
43,Arraial Do Cabo,BR,71.56,few clouds,-22.9661,-42.0278,Pousada Porto Praia
46,Lorengau,PG,80.55,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
47,Kapaa,US,82.72,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
48,Makakilo City,US,80.92,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
49,Albany,US,80.94,broken clouds,42.6001,-73.9662,
52,Awbari,LY,91.04,clear sky,26.5921,12.7805,فندق أوباري
54,Ambon,ID,78.35,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
55,Corinto,GR,85.89,clear sky,37.9407,22.9573,Ephira Hotel
56,Primo Tapia,MX,81.99,scattered clouds,32.22,-116.9172,Puerto Nuevo Baja Hotel y Villas
58,Kahului,US,83.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
62,Hovd,MN,67.73,few clouds,48.0056,91.6419,Hotel Khovd
63,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
64,Rincon De La Victoria,ES,82.85,clear sky,36.7172,-4.2758,Fay Hotels Victoria Beach
65,Saint George,US,94.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
67,Amboise,FR,84.74,clear sky,47.4125,0.9827,Hotel Amboise Le Blason
68,Guerrero Negro,MX,81.91,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
69,Prince George,CA,83.25,clear sky,53.9166,-122.753,Canadas Best Value Inn Prince George
70,Qunduz,AF,89.37,clear sky,36.729,68.857,Spin Zar cotton company
71,Cockburn Town,TC,82.15,few clouds,21.4612,-71.1419,Osprey Beach Hotel
72,Mahibadhoo,MV,78.94,overcast clouds,3.7833,72.9667,Omadhoo Inn
73,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
75,Pavlovka,RU,65.23,broken clouds,52.6897,47.1405,Rus'
76,Pemba,MZ,75.9,scattered clouds,-12.974,40.5178,Guesthouse Samotina
78,Roebourne,AU,71.89,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
79,Bontang,ID,76.17,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
80,Atambua,ID,70.52,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
83,Oistins,BB,86.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
88,Tabou,CI,75.52,few clouds,4.423,-7.3528,hotêl doufoulougou
90,Gusau,NG,70.66,very heavy rain,12.1628,6.6614,GUEST INN
96,Faanui,PF,79.27,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
98,Bambous Virieux,MU,70.21,light rain,-20.3428,57.7575,Casa Tia Villa
100,Adrar,MR,94.98,broken clouds,20.5022,-10.0711,
104,Mangaluru,IN,79.66,moderate rain,12.8667,74.8833,Goldfinch Hotel Mangaluru
105,Chimore,BO,83.48,clear sky,-16.9833,-65.1333,Bichito
107,Houma,US,84.2,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
112,Atuona,PF,76.86,clear sky,-9.8,-139.0333,Villa Enata
114,George Town,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
116,Nouadhibou,MR,71.58,few clouds,20.931,-17.0347,El Medina
117,Ribeira Grande,PT,77.4,broken clouds,38.5167,-28.7,Quinta da Meia Eira
119,Khani,GE,65.77,scattered clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
123,Broome,US,81.7,broken clouds,42.2506,-75.833,Chenango Valley State Park
126,Pontianak,ID,76.98,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
127,Hambantota,LK,79.45,overcast clouds,6.1241,81.1185,Bungalow 63
128,Rockport,US,94.06,clear sky,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
129,Alta Floresta,BR,94.82,smoke,-9.8756,-56.0861,Floresta Amazonica Hotel
130,Bazaliya,UA,73.81,overcast clouds,49.7127,26.4733,
131,Pokhvistnevo,RU,68.16,scattered clouds,53.6524,52.1274,Pohvistnevskaya Central Hotel
133,Cusco,PE,70.03,few clouds,-13.5183,-71.9781,"Monasterio, A Belmond Hotel, Cusco"
134,Scarborough,GB,66.33,overcast clouds,54.2797,-0.4044,The Grand Hotel Scarborough
135,Kupang,ID,75.33,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
137,Luganville,VU,74.48,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
138,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
139,Marsh Harbour,BS,84.2,broken clouds,26.5412,-77.0636,Abaco Beach Resort
140,Semnan,IR,85.84,few clouds,35.5729,53.3971,Semnan Tourist Hotel
141,Kikwit,CD,82.87,broken clouds,-5.041,18.8162,HOTEL PLACE YALABA
142,Victoria,HK,86.38,scattered clouds,22.2855,114.1577,Mini Central
143,Saint-Philippe,RE,66.22,scattered clouds,-21.3585,55.7679,Le four à pain
144,Myronivka,UA,70.43,clear sky,49.6601,30.9823,Petryky Dim Myronivka
146,Puerto Ayacucho,VE,85.41,few clouds,5.6639,-67.6236,Posada Turistica Manapiare
151,Mecca,SA,90.95,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
153,Voh,NC,67.48,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
154,Aswan,EG,94.6,clear sky,24.0934,32.907,Nuba Nile
155,Mahebourg,MU,70.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
156,Port Hardy,CA,66.38,fog,50.6996,-127.4199,Airport Inn-Port Hardy
158,Saint-Augustin,CA,66.16,overcast clouds,51.226,-58.6502,
159,Rio Bananal,BR,75.99,broken clouds,-19.265,-40.3333,HOTEL SCARTON
