City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2022-07-27 22:35:12,22.0752,-159.319,84.52,63,20,12.66
1,Albany,US,2022-07-27 22:27:24,42.6001,-73.9662,82.58,52,99,2.93
2,Port Alfred,ZA,2022-07-27 22:32:24,-33.5906,26.891,64.11,74,99,10.38
3,Nemuro,JP,2022-07-27 22:35:13,43.3236,145.575,62.31,98,94,8.32
4,Dudinka,RU,2022-07-27 22:35:14,69.4058,86.1778,53.85,75,74,8.21
5,Toamasina,MG,2022-07-27 22:35:14,-18.1667,49.3833,68.0,94,75,2.3
6,Jamestown,US,2022-07-27 22:35:15,42.097,-79.2353,74.71,71,100,10.36
7,Cherskiy,RU,2022-07-27 22:31:16,68.75,161.3,52.45,50,58,1.19
8,New Norfolk,AU,2022-07-27 22:35:16,-42.7826,147.0587,45.72,66,80,5.82
9,Aklavik,CA,2022-07-27 22:35:16,68.2191,-135.0107,61.81,39,58,21.09
10,Avarua,CK,2022-07-27 22:35:17,-21.2078,-159.775,78.85,65,40,20.71
11,Mar Del Plata,AR,2022-07-27 22:33:00,-38.0023,-57.5575,54.09,60,100,6.91
12,Yellowknife,CA,2022-07-27 22:35:18,62.456,-114.3525,70.32,60,75,10.36
13,Wajima,JP,2022-07-27 22:35:18,37.4,136.9,78.94,82,99,5.23
14,Aksu,CN,2022-07-27 22:35:19,41.1231,80.2644,82.98,26,42,1.57
15,Tuktoyaktuk,CA,2022-07-27 22:35:19,69.4541,-133.0374,51.8,76,75,13.8
16,Kahului,US,2022-07-27 22:31:13,20.8947,-156.47,87.82,60,20,25.32
17,Vaini,TO,2022-07-27 22:29:00,-21.2,-175.2,78.96,83,20,8.05
18,Kentau,KZ,2022-07-27 22:35:20,43.5206,68.5094,76.87,33,0,5.41
19,Asau,RO,2022-07-27 22:35:20,46.4333,26.4,65.32,85,6,2.84
20,San Borja,BO,2022-07-27 22:35:21,-14.8167,-66.85,80.78,54,63,2.53
21,Pevek,RU,2022-07-27 22:35:21,69.7008,170.3133,34.9,90,100,3.47
22,Rikitea,PF,2022-07-27 22:32:26,-23.1203,-134.9692,74.05,69,97,14.7
23,Ponta Do Sol,PT,2022-07-27 22:35:22,32.6667,-17.1,72.23,81,1,5.48
24,Barrow,US,2022-07-27 22:29:06,71.2906,-156.7887,33.49,98,100,17.02
25,Bluff,NZ,2022-07-27 22:28:52,-46.6,168.3333,47.8,87,100,12.03
26,Bathsheba,BB,2022-07-27 22:35:23,13.2167,-59.5167,79.05,92,75,24.16
27,Hithadhoo,MV,2022-07-27 22:35:23,-0.6,73.0833,82.17,74,100,12.1
28,Aginskoye,RU,2022-07-27 22:35:24,51.1,114.53,57.09,83,100,7.63
29,Ushuaia,AR,2022-07-27 22:30:56,-54.8,-68.3,42.46,65,75,8.05
30,La Baule-Escoublac,FR,2022-07-27 22:35:25,47.2922,-2.364,67.66,65,0,5.75
31,Churapcha,RU,2022-07-27 22:35:25,62.0025,132.4325,78.13,51,9,2.08
32,Mataura,NZ,2022-07-27 22:28:53,-46.1927,168.8643,47.48,99,100,2.37
33,Hermanus,ZA,2022-07-27 22:32:19,-34.4187,19.2345,54.81,84,0,11.56
34,Khazar,RU,2022-07-27 22:35:26,41.9974,48.3332,74.05,77,6,4.85
35,Bratsk,RU,2022-07-27 22:31:22,56.1325,101.6142,55.89,82,100,6.11
36,Saint-Philippe,RE,2022-07-27 22:35:26,-21.3585,55.7679,67.59,81,11,7.7
37,Haicheng,CN,2022-07-27 22:35:27,40.8516,122.7475,76.57,87,100,4.94
38,Khatanga,RU,2022-07-27 22:35:27,71.9667,102.5,64.98,56,93,1.83
39,Atuona,PF,2022-07-27 22:31:00,-9.8,-139.0333,77.74,64,0,21.32
40,Vostok,RU,2022-07-27 22:35:28,46.4856,135.8833,73.27,75,83,2.15
41,Seymchan,RU,2022-07-27 22:33:18,62.8833,152.4333,61.05,44,6,5.86
42,Meiktila,MM,2022-07-27 22:35:29,20.8667,95.8667,80.1,72,80,6.04
43,Cape Town,ZA,2022-07-27 22:32:27,-33.9258,18.4232,61.38,71,0,1.99
44,Suixi,CN,2022-07-27 22:35:29,33.8907,116.7747,78.12,82,99,3.49
45,Castro,BR,2022-07-27 22:35:30,-24.7911,-50.0119,58.53,72,55,2.95
46,Arraial Do Cabo,BR,2022-07-27 22:33:15,-22.9661,-42.0278,71.46,78,0,13.8
47,Weston,US,2022-07-27 22:32:08,26.1004,-80.3998,90.0,65,40,11.5
48,Qaanaaq,GL,2022-07-27 22:36:31,77.484,-69.3632,39.7,81,92,6.22
49,Manokwari,ID,2022-07-27 22:36:32,-0.8667,134.0833,79.68,78,90,1.25
50,Orumiyeh,IR,2022-07-27 22:36:32,37.5527,45.0761,67.55,37,0,9.22
